Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Middlesbrough,E06000002,Upper tier local authority,17/04/2020,0,354
Milton Keynes,E06000042,Upper tier local authority,17/04/2020,0,361
Newcastle upon Tyne,E08000021,Upper tier local authority,17/04/2020,0,686
Newham,E09000025,Upper tier local authority,17/04/2020,0,842
Norfolk,E10000020,Upper tier local authority,17/04/2020,0,932
North East Lincolnshire,E06000012,Upper tier local authority,17/04/2020,0,91
North Lincolnshire,E06000013,Upper tier local authority,17/04/2020,0,168
North Somerset,E06000024,Upper tier local authority,17/04/2020,0,145
North Tyneside,E08000022,Upper tier local authority,17/04/2020,0,366
North Yorkshire,E10000023,Upper tier local authority,17/04/2020,3,591
Northamptonshire,E10000021,Upper tier local authority,17/04/2020,0,820
Northumberland,E06000057,Upper tier local authority,17/04/2020,0,545
Nottingham,E06000018,Upper tier local authority,17/04/2020,0,352
Nottinghamshire,E10000024,Upper tier local authority,17/04/2020,1,804
Oldham,E08000004,Upper tier local authority,17/04/2020,0,424
Oxfordshire,E10000025,Upper tier local authority,17/04/2020,0,1111
Peterborough,E06000031,Upper tier local authority,17/04/2020,0,127
Plymouth,E06000026,Upper tier local authority,17/04/2020,0,190
Portsmouth,E06000044,Upper tier local authority,17/04/2020,0,222
Reading,E06000038,Upper tier local authority,17/04/2020,0,262
Redbridge,E09000026,Upper tier local authority,17/04/2020,0,581
Redcar and Cleveland,E06000003,Upper tier local authority,17/04/2020,0,206
Richmond upon Thames,E09000027,Upper tier local authority,17/04/2020,0,311
Rochdale,E08000005,Upper tier local authority,17/04/2020,0,310
Rotherham,E08000018,Upper tier local authority,17/04/2020,11,453
Rutland,E06000017,Upper tier local authority,17/04/2020,0,12
Salford,E08000006,Upper tier local authority,17/04/2020,0,414
Sandwell,E08000028,Upper tier local authority,17/04/2020,0,677
Sefton,E08000014,Upper tier local authority,17/04/2020,0,600
Sheffield,E08000019,Upper tier local authority,17/04/2020,38,1553
Shropshire,E06000051,Upper tier local authority,17/04/2020,0,305
Slough,E06000039,Upper tier local authority,17/04/2020,0,272
Solihull,E08000029,Upper tier local authority,17/04/2020,0,413
Somerset,E10000027,Upper tier local authority,17/04/2020,0,310
South Gloucestershire,E06000025,Upper tier local authority,17/04/2020,0,256
South Tyneside,E08000023,Upper tier local authority,17/04/2020,0,291
Southampton,E06000045,Upper tier local authority,17/04/2020,4,331
Southend-on-Sea,E06000033,Upper tier local authority,17/04/2020,0,245
Southwark,E09000028,Upper tier local authority,17/04/2020,0,1053
St. Helens,E08000013,Upper tier local authority,17/04/2020,0,431
Staffordshire,E10000028,Upper tier local authority,17/04/2020,8,1159
Stockport,E08000007,Upper tier local authority,17/04/2020,2,596
Stockton-on-Tees,E06000004,Upper tier local authority,17/04/2020,0,230
Stoke-on-Trent,E06000021,Upper tier local authority,17/04/2020,7,273
Suffolk,E10000029,Upper tier local authority,17/04/2020,0,600
Sunderland,E08000024,Upper tier local authority,17/04/2020,0,797
Surrey,E10000030,Upper tier local authority,17/04/2020,0,1832
Sutton,E09000029,Upper tier local authority,17/04/2020,0,559
Swindon,E06000030,Upper tier local authority,17/04/2020,0,247
Tameside,E08000008,Upper tier local authority,17/04/2020,0,349
Telford and Wrekin,E06000020,Upper tier local authority,17/04/2020,0,150
Thurrock,E06000034,Upper tier local authority,17/04/2020,0,217
Torbay,E06000027,Upper tier local authority,17/04/2020,0,110
Tower Hamlets,E09000030,Upper tier local authority,17/04/2020,0,543
Trafford,E08000009,Upper tier local authority,17/04/2020,0,431
Wakefield,E08000036,Upper tier local authority,17/04/2020,0,385
Walsall,E08000030,Upper tier local authority,17/04/2020,1,654
Waltham Forest,E09000031,Upper tier local authority,17/04/2020,0,623
Wandsworth,E09000032,Upper tier local authority,17/04/2020,0,811
Warrington,E06000007,Upper tier local authority,17/04/2020,0,408
Warwickshire,E10000031,Upper tier local authority,17/04/2020,0,787
West Berkshire,E06000037,Upper tier local authority,17/04/2020,0,189
West Sussex,E10000032,Upper tier local authority,17/04/2020,0,782
Westminster,E09000033,Upper tier local authority,17/04/2020,0,544
Wigan,E08000010,Upper tier local authority,17/04/2020,0,397
Wiltshire,E06000054,Upper tier local authority,17/04/2020,0,328
Windsor and Maidenhead,E06000040,Upper tier local authority,17/04/2020,0,168
