Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
Salford,E08000006,Upper tier local authority,07/04/2020,10,314
Sandwell,E08000028,Upper tier local authority,07/04/2020,28,471
Sefton,E08000014,Upper tier local authority,07/04/2020,38,393
Sheffield,E08000019,Upper tier local authority,07/04/2020,50,1146
Shropshire,E06000051,Upper tier local authority,07/04/2020,9,199
Slough,E06000039,Upper tier local authority,07/04/2020,18,199
Solihull,E08000029,Upper tier local authority,07/04/2020,19,292
Somerset,E10000027,Upper tier local authority,07/04/2020,10,161
South Gloucestershire,E06000025,Upper tier local authority,07/04/2020,9,165
South Tyneside,E08000023,Upper tier local authority,07/04/2020,19,168
Southampton,E06000045,Upper tier local authority,07/04/2020,15,213
Southend-on-Sea,E06000033,Upper tier local authority,07/04/2020,18,196
Southwark,E09000028,Upper tier local authority,07/04/2020,47,835
St. Helens,E08000013,Upper tier local authority,07/04/2020,28,322
Staffordshire,E10000028,Upper tier local authority,07/04/2020,57,749
Stockport,E08000007,Upper tier local authority,07/04/2020,28,374
Stockton-on-Tees,E06000004,Upper tier local authority,07/04/2020,19,165
Stoke-on-Trent,E06000021,Upper tier local authority,07/04/2020,11,136
Suffolk,E10000029,Upper tier local authority,07/04/2020,27,376
Sunderland,E08000024,Upper tier local authority,07/04/2020,48,495
Surrey,E10000030,Upper tier local authority,07/04/2020,116,1322
Sutton,E09000029,Upper tier local authority,07/04/2020,29,366
Swindon,E06000030,Upper tier local authority,07/04/2020,17,121
Tameside,E08000008,Upper tier local authority,07/04/2020,10,229
Telford and Wrekin,E06000020,Upper tier local authority,07/04/2020,12,117
Thurrock,E06000034,Upper tier local authority,07/04/2020,14,164
Torbay,E06000027,Upper tier local authority,07/04/2020,6,69
Tower Hamlets,E09000030,Upper tier local authority,07/04/2020,16,425
Trafford,E08000009,Upper tier local authority,07/04/2020,19,303
Wakefield,E08000036,Upper tier local authority,07/04/2020,23,257
Walsall,E08000030,Upper tier local authority,07/04/2020,33,493
Waltham Forest,E09000031,Upper tier local authority,07/04/2020,20,466
Wandsworth,E09000032,Upper tier local authority,07/04/2020,26,661
Warrington,E06000007,Upper tier local authority,07/04/2020,30,244
Warwickshire,E10000031,Upper tier local authority,07/04/2020,37,560
West Berkshire,E06000037,Upper tier local authority,07/04/2020,11,136
West Sussex,E10000032,Upper tier local authority,07/04/2020,54,530
Westminster,E09000033,Upper tier local authority,07/04/2020,15,446
Wigan,E08000010,Upper tier local authority,07/04/2020,24,254
Wiltshire,E06000054,Upper tier local authority,07/04/2020,10,203
Windsor and Maidenhead,E06000040,Upper tier local authority,07/04/2020,10,133
Wirral,E08000015,Upper tier local authority,07/04/2020,49,434
Wokingham,E06000041,Upper tier local authority,07/04/2020,9,142
Wolverhampton,E08000031,Upper tier local authority,07/04/2020,15,374
Worcestershire,E10000034,Upper tier local authority,07/04/2020,43,541
York,E06000014,Upper tier local authority,07/04/2020,13,101
England,E92000001,Country,06/04/2020,4276,55407
East of England,E12000006,Region,06/04/2020,382,4581
London,E12000007,Region,06/04/2020,835,15164
North East,E12000001,Region,06/04/2020,375,2808
West Midlands,E12000005,Region,06/04/2020,339,6017
North West,E12000002,Region,06/04/2020,817,7930
East Midlands,E12000004,Region,06/04/2020,215,3317
South West,E12000009,Region,06/04/2020,184,2448
Yorkshire and The Humber,E12000003,Region,06/04/2020,320,3903
South East,E12000008,Region,06/04/2020,585,7269
Barking and Dagenham,E09000002,Upper tier local authority,06/04/2020,11,255
Barnet,E09000003,Upper tier local authority,06/04/2020,36,803
Barnsley,E08000016,Upper tier local authority,06/04/2020,13,255
Bath and North East Somerset,E06000022,Upper tier local authority,06/04/2020,11,82
Bedford,E06000055,Upper tier local authority,06/04/2020,14,157
Bexley,E09000004,Upper tier local authority,06/04/2020,24,336
Birmingham,E08000025,Upper tier local authority,06/04/2020,64,1569
Blackburn with Darwen,E06000008,Upper tier local authority,06/04/2020,10,103
Blackpool,E06000009,Upper tier local authority,06/04/2020,6,97
Bolton,E08000001,Upper tier local authority,06/04/2020,31,248
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,06/04/2020,18,153
Bracknell Forest,E06000036,Upper tier local authority,06/04/2020,3,83
Bradford,E08000032,Upper tier local authority,06/04/2020,35,298
Brent,E09000005,Upper tier local authority,06/04/2020,37,880
Brighton and Hove,E06000043,Upper tier local authority,06/04/2020,10,170
"Bristol, City of",E06000023,Upper tier local authority,06/04/2020,13,240
Bromley,E09000006,Upper tier local authority,06/04/2020,37,624
Buckinghamshire,E10000002,Upper tier local authority,06/04/2020,26,382
Bury,E08000002,Upper tier local authority,06/04/2020,13,181
Calderdale,E08000033,Upper tier local authority,06/04/2020,10,107
Cambridgeshire,E10000003,Upper tier local authority,06/04/2020,18,316
Camden,E09000007,Upper tier local authority,06/04/2020,17,362
Central Bedfordshire,E06000056,Upper tier local authority,06/04/2020,20,221
Cheshire East,E06000049,Upper tier local authority,06/04/2020,33,280
Cheshire West and Chester,E06000050,Upper tier local authority,06/04/2020,31,313
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,06/04/2020,19,227
County Durham,E06000047,Upper tier local authority,06/04/2020,86,418
Coventry,E08000026,Upper tier local authority,06/04/2020,25,330
Croydon,E09000008,Upper tier local authority,06/04/2020,42,821
Cumbria,E10000006,Upper tier local authority,06/04/2020,97,969
Darlington,E06000005,Upper tier local authority,06/04/2020,21,76
Derby,E06000015,Upper tier local authority,06/04/2020,2,304
Derbyshire,E10000007,Upper tier local authority,06/04/2020,25,595
Devon,E10000008,Upper tier local authority,06/04/2020,14,285
Doncaster,E08000017,Upper tier local authority,06/04/2020,1,179
Dorset,E06000059,Upper tier local authority,06/04/2020,12,147
Dudley,E08000027,Upper tier local authority,06/04/2020,18,367
Ealing,E09000009,Upper tier local authority,06/04/2020,30,590
East Riding of Yorkshire,E06000011,Upper tier local authority,06/04/2020,20,149
East Sussex,E10000011,Upper tier local authority,06/04/2020,19,245
Enfield,E09000010,Upper tier local authority,06/04/2020,33,430
Essex,E10000012,Upper tier local authority,06/04/2020,100,1237
Gateshead,E08000037,Upper tier local authority,06/04/2020,42,271
Gloucestershire,E10000013,Upper tier local authority,06/04/2020,36,446
Greenwich,E09000011,Upper tier local authority,06/04/2020,37,397
Hackney,E09000012,Upper tier local authority,06/04/2020,23,415
Halton,E06000006,Upper tier local authority,06/04/2020,24,146
Hammersmith and Fulham,E09000013,Upper tier local authority,06/04/2020,16,320
Hampshire,E10000014,Upper tier local authority,06/04/2020,102,1274
Haringey,E09000014,Upper tier local authority,06/04/2020,12,349
Harrow,E09000015,Upper tier local authority,06/04/2020,25,546
Hartlepool,E06000001,Upper tier local authority,06/04/2020,9,48
Havering,E09000016,Upper tier local authority,06/04/2020,22,331
"Herefordshire, County of",E06000019,Upper tier local authority,06/04/2020,11,83
Hertfordshire,E10000015,Upper tier local authority,06/04/2020,91,1172
Hillingdon,E09000017,Upper tier local authority,06/04/2020,23,414
Hounslow,E09000018,Upper tier local authority,06/04/2020,18,397
Isle of Wight,E06000046,Upper tier local authority,06/04/2020,4,37
Islington,E09000019,Upper tier local authority,06/04/2020,9,289
Kensington and Chelsea,E09000020,Upper tier local authority,06/04/2020,11,302
Kent,E10000016,Upper tier local authority,06/04/2020,142,1202
"Kingston upon Hull, City of",E06000010,Upper tier local authority,06/04/2020,15,71
Kingston upon Thames,E09000021,Upper tier local authority,06/04/2020,13,230
Kirklees,E08000034,Upper tier local authority,06/04/2020,28,248
Knowsley,E08000011,Upper tier local authority,06/04/2020,32,218
Lambeth,E09000022,Upper tier local authority,06/04/2020,41,766
Lancashire,E10000017,Upper tier local authority,06/04/2020,112,1161
Leeds,E08000035,Upper tier local authority,06/04/2020,49,437
Leicester,E06000016,Upper tier local authority,06/04/2020,26,278
Leicestershire,E10000018,Upper tier local authority,06/04/2020,31,424
Lewisham,E09000023,Upper tier local authority,06/04/2020,44,592
Lincolnshire,E10000019,Upper tier local authority,06/04/2020,37,360
Liverpool,E08000012,Upper tier local authority,06/04/2020,52,653
Luton,E06000032,Upper tier local authority,06/04/2020,28,278
Manchester,E08000003,Upper tier local authority,06/04/2020,68,463
Medway,E06000035,Upper tier local authority,06/04/2020,30,281
Merton,E09000024,Upper tier local authority,06/04/2020,37,426
Middlesbrough,E06000002,Upper tier local authority,06/04/2020,17,208
Milton Keynes,E06000042,Upper tier local authority,06/04/2020,19,237
Newcastle upon Tyne,E08000021,Upper tier local authority,06/04/2020,39,430
Newham,E09000025,Upper tier local authority,06/04/2020,41,608
Norfolk,E10000020,Upper tier local authority,06/04/2020,47,434
North East Lincolnshire,E06000012,Upper tier local authority,06/04/2020,6,58
North Lincolnshire,E06000013,Upper tier local authority,06/04/2020,7,70
North Somerset,E06000024,Upper tier local authority,06/04/2020,6,93
North Tyneside,E08000022,Upper tier local authority,06/04/2020,32,230
North Yorkshire,E10000023,Upper tier local authority,06/04/2020,30,346
Northamptonshire,E10000021,Upper tier local authority,06/04/2020,43,591
Northumberland,E06000057,Upper tier local authority,06/04/2020,28,257
Nottingham,E06000018,Upper tier local authority,06/04/2020,21,232
Nottinghamshire,E10000024,Upper tier local authority,06/04/2020,30,525
Oldham,E08000004,Upper tier local authority,06/04/2020,19,261
Oxfordshire,E10000025,Upper tier local authority,06/04/2020,48,648
Peterborough,E06000031,Upper tier local authority,06/04/2020,8,89
Plymouth,E06000026,Upper tier local authority,06/04/2020,5,108
Portsmouth,E06000044,Upper tier local authority,06/04/2020,10,132
Reading,E06000038,Upper tier local authority,06/04/2020,3,136
Redbridge,E09000026,Upper tier local authority,06/04/2020,26,384
Redcar and Cleveland,E06000003,Upper tier local authority,06/04/2020,9,128
Richmond upon Thames,E09000027,Upper tier local authority,06/04/2020,11,240
Rochdale,E08000005,Upper tier local authority,06/04/2020,10,206
Rotherham,E08000018,Upper tier local authority,06/04/2020,8,267
Salford,E08000006,Upper tier local authority,06/04/2020,28,304
Sandwell,E08000028,Upper tier local authority,06/04/2020,23,443
Sefton,E08000014,Upper tier local authority,06/04/2020,36,355
Sheffield,E08000019,Upper tier local authority,06/04/2020,64,1096
Shropshire,E06000051,Upper tier local authority,06/04/2020,11,190
Slough,E06000039,Upper tier local authority,06/04/2020,9,181
Solihull,E08000029,Upper tier local authority,06/04/2020,12,273
Somerset,E10000027,Upper tier local authority,06/04/2020,16,151
South Gloucestershire,E06000025,Upper tier local authority,06/04/2020,10,156
South Tyneside,E08000023,Upper tier local authority,06/04/2020,23,149
Southampton,E06000045,Upper tier local authority,06/04/2020,9,198
Southend-on-Sea,E06000033,Upper tier local authority,06/04/2020,19,178
Southwark,E09000028,Upper tier local authority,06/04/2020,40,788
St. Helens,E08000013,Upper tier local authority,06/04/2020,28,294
Staffordshire,E10000028,Upper tier local authority,06/04/2020,40,692
Stockport,E08000007,Upper tier local authority,06/04/2020,42,346
Stockton-on-Tees,E06000004,Upper tier local authority,06/04/2020,9,146
Stoke-on-Trent,E06000021,Upper tier local authority,06/04/2020,4,125
Suffolk,E10000029,Upper tier local authority,06/04/2020,29,349
Sunderland,E08000024,Upper tier local authority,06/04/2020,60,447
Surrey,E10000030,Upper tier local authority,06/04/2020,86,1206
Sutton,E09000029,Upper tier local authority,06/04/2020,24,337
Swindon,E06000030,Upper tier local authority,06/04/2020,9,104
Tameside,E08000008,Upper tier local authority,06/04/2020,28,219
Telford and Wrekin,E06000020,Upper tier local authority,06/04/2020,3,105
Thurrock,E06000034,Upper tier local authority,06/04/2020,8,150
Torbay,E06000027,Upper tier local authority,06/04/2020,2,63
Tower Hamlets,E09000030,Upper tier local authority,06/04/2020,25,409
Trafford,E08000009,Upper tier local authority,06/04/2020,22,284
Wakefield,E08000036,Upper tier local authority,06/04/2020,24,234
Walsall,E08000030,Upper tier local authority,06/04/2020,33,460
Waltham Forest,E09000031,Upper tier local authority,06/04/2020,25,446
Wandsworth,E09000032,Upper tier local authority,06/04/2020,34,635
Warrington,E06000007,Upper tier local authority,06/04/2020,31,214
Warwickshire,E10000031,Upper tier local authority,06/04/2020,37,523
West Berkshire,E06000037,Upper tier local authority,06/04/2020,6,125
West Sussex,E10000032,Upper tier local authority,06/04/2020,50,476
Westminster,E09000033,Upper tier local authority,06/04/2020,11,431
Wigan,E08000010,Upper tier local authority,06/04/2020,17,230
Wiltshire,E06000054,Upper tier local authority,06/04/2020,13,193
Windsor and Maidenhead,E06000040,Upper tier local authority,06/04/2020,3,123
Wirral,E08000015,Upper tier local authority,06/04/2020,47,385
Wokingham,E06000041,Upper tier local authority,06/04/2020,6,133
Wolverhampton,E08000031,Upper tier local authority,06/04/2020,22,359
Worcestershire,E10000034,Upper tier local authority,06/04/2020,36,498
York,E06000014,Upper tier local authority,06/04/2020,10,88
England,E92000001,Country,05/04/2020,3016,51131
East of England,E12000006,Region,05/04/2020,280,4199
London,E12000007,Region,05/04/2020,602,14329
North East,E12000001,Region,05/04/2020,221,2433
West Midlands,E12000005,Region,05/04/2020,268,5678
North West,E12000002,Region,05/04/2020,612,7113
East Midlands,E12000004,Region,05/04/2020,148,3102
South West,E12000009,Region,05/04/2020,154,2264
Yorkshire and The Humber,E12000003,Region,05/04/2020,219,3583
South East,E12000008,Region,05/04/2020,423,6684
Barking and Dagenham,E09000002,Upper tier local authority,05/04/2020,16,244
Barnet,E09000003,Upper tier local authority,05/04/2020,40,767
Barnsley,E08000016,Upper tier local authority,05/04/2020,2,242
Bath and North East Somerset,E06000022,Upper tier local authority,05/04/2020,5,71
Bedford,E06000055,Upper tier local authority,05/04/2020,5,143
Bexley,E09000004,Upper tier local authority,05/04/2020,18,312
Birmingham,E08000025,Upper tier local authority,05/04/2020,70,1505
Blackburn with Darwen,E06000008,Upper tier local authority,05/04/2020,8,93
Blackpool,E06000009,Upper tier local authority,05/04/2020,3,91
Bolton,E08000001,Upper tier local authority,05/04/2020,15,217
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,05/04/2020,12,135
Bracknell Forest,E06000036,Upper tier local authority,05/04/2020,4,80
Bradford,E08000032,Upper tier local authority,05/04/2020,28,263
Brent,E09000005,Upper tier local authority,05/04/2020,37,843
Brighton and Hove,E06000043,Upper tier local authority,05/04/2020,11,160
"Bristol, City of",E06000023,Upper tier local authority,05/04/2020,14,227
Bromley,E09000006,Upper tier local authority,05/04/2020,26,587
Buckinghamshire,E10000002,Upper tier local authority,05/04/2020,13,356
Bury,E08000002,Upper tier local authority,05/04/2020,15,168
Calderdale,E08000033,Upper tier local authority,05/04/2020,3,97
Cambridgeshire,E10000003,Upper tier local authority,05/04/2020,26,298
Camden,E09000007,Upper tier local authority,05/04/2020,16,345
Central Bedfordshire,E06000056,Upper tier local authority,05/04/2020,16,201
Cheshire East,E06000049,Upper tier local authority,05/04/2020,27,247
Cheshire West and Chester,E06000050,Upper tier local authority,05/04/2020,32,282
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,05/04/2020,11,208
County Durham,E06000047,Upper tier local authority,05/04/2020,26,332
Coventry,E08000026,Upper tier local authority,05/04/2020,10,305
Croydon,E09000008,Upper tier local authority,05/04/2020,36,779
Cumbria,E10000006,Upper tier local authority,05/04/2020,79,872
Darlington,E06000005,Upper tier local authority,05/04/2020,2,55
Derby,E06000015,Upper tier local authority,05/04/2020,2,302
Derbyshire,E10000007,Upper tier local authority,05/04/2020,8,570
Devon,E10000008,Upper tier local authority,05/04/2020,20,271
Dorset,E06000059,Upper tier local authority,05/04/2020,6,135
Dudley,E08000027,Upper tier local authority,05/04/2020,20,349
Ealing,E09000009,Upper tier local authority,05/04/2020,14,560
East Riding of Yorkshire,E06000011,Upper tier local authority,05/04/2020,10,129
East Sussex,E10000011,Upper tier local authority,05/04/2020,12,226
Enfield,E09000010,Upper tier local authority,05/04/2020,12,397
Essex,E10000012,Upper tier local authority,05/04/2020,53,1137
Gateshead,E08000037,Upper tier local authority,05/04/2020,20,229
Gloucestershire,E10000013,Upper tier local authority,05/04/2020,31,410
Greenwich,E09000011,Upper tier local authority,05/04/2020,21,360
Hackney,E09000012,Upper tier local authority,05/04/2020,20,392
Halton,E06000006,Upper tier local authority,05/04/2020,15,122
Hammersmith and Fulham,E09000013,Upper tier local authority,05/04/2020,10,304
Hampshire,E10000014,Upper tier local authority,05/04/2020,74,1172
Haringey,E09000014,Upper tier local authority,05/04/2020,8,337
Harrow,E09000015,Upper tier local authority,05/04/2020,26,521
Hartlepool,E06000001,Upper tier local authority,05/04/2020,3,39
Havering,E09000016,Upper tier local authority,05/04/2020,20,309
"Herefordshire, County of",E06000019,Upper tier local authority,05/04/2020,4,72
Hertfordshire,E10000015,Upper tier local authority,05/04/2020,62,1081
Hillingdon,E09000017,Upper tier local authority,05/04/2020,16,391
Hounslow,E09000018,Upper tier local authority,05/04/2020,19,379
Isle of Wight,E06000046,Upper tier local authority,05/04/2020,2,33
Islington,E09000019,Upper tier local authority,05/04/2020,4,280
Kensington and Chelsea,E09000020,Upper tier local authority,05/04/2020,6,291
Kent,E10000016,Upper tier local authority,05/04/2020,72,1060
"Kingston upon Hull, City of",E06000010,Upper tier local authority,05/04/2020,4,56
Kingston upon Thames,E09000021,Upper tier local authority,05/04/2020,9,217
Kirklees,E08000034,Upper tier local authority,05/04/2020,12,220
Knowsley,E08000011,Upper tier local authority,05/04/2020,14,186
Lambeth,E09000022,Upper tier local authority,05/04/2020,17,725
Lancashire,E10000017,Upper tier local authority,05/04/2020,94,1049
Leeds,E08000035,Upper tier local authority,05/04/2020,36,388
Leicester,E06000016,Upper tier local authority,05/04/2020,20,252
Leicestershire,E10000018,Upper tier local authority,05/04/2020,31,393
Lewisham,E09000023,Upper tier local authority,05/04/2020,28,548
Lincolnshire,E10000019,Upper tier local authority,05/04/2020,21,323
Liverpool,E08000012,Upper tier local authority,05/04/2020,46,601
Luton,E06000032,Upper tier local authority,05/04/2020,27,250
Manchester,E08000003,Upper tier local authority,05/04/2020,36,395
Medway,E06000035,Upper tier local authority,05/04/2020,19,251
Merton,E09000024,Upper tier local authority,05/04/2020,17,389
Middlesbrough,E06000002,Upper tier local authority,05/04/2020,21,191
Milton Keynes,E06000042,Upper tier local authority,05/04/2020,21,218
Newcastle upon Tyne,E08000021,Upper tier local authority,05/04/2020,24,391
Newham,E09000025,Upper tier local authority,05/04/2020,24,567
Norfolk,E10000020,Upper tier local authority,05/04/2020,36,387
North East Lincolnshire,E06000012,Upper tier local authority,05/04/2020,2,52
North Somerset,E06000024,Upper tier local authority,05/04/2020,4,87
North Tyneside,E08000022,Upper tier local authority,05/04/2020,18,198
North Yorkshire,E10000023,Upper tier local authority,05/04/2020,22,316
Northamptonshire,E10000021,Upper tier local authority,05/04/2020,34,548
Northumberland,E06000057,Upper tier local authority,05/04/2020,23,229
Nottingham,E06000018,Upper tier local authority,05/04/2020,11,211
Nottinghamshire,E10000024,Upper tier local authority,05/04/2020,20,495
Oldham,E08000004,Upper tier local authority,05/04/2020,13,242
Oxfordshire,E10000025,Upper tier local authority,05/04/2020,49,600
Peterborough,E06000031,Upper tier local authority,05/04/2020,6,81
Plymouth,E06000026,Upper tier local authority,05/04/2020,1,103
Portsmouth,E06000044,Upper tier local authority,05/04/2020,10,122
Reading,E06000038,Upper tier local authority,05/04/2020,8,133
Redbridge,E09000026,Upper tier local authority,05/04/2020,22,358
Redcar and Cleveland,E06000003,Upper tier local authority,05/04/2020,8,119
Richmond upon Thames,E09000027,Upper tier local authority,05/04/2020,7,229
Rochdale,E08000005,Upper tier local authority,05/04/2020,11,196
Rotherham,E08000018,Upper tier local authority,05/04/2020,9,259
Rutland,E06000017,Upper tier local authority,05/04/2020,1,8
Salford,E08000006,Upper tier local authority,05/04/2020,18,276
Sandwell,E08000028,Upper tier local authority,05/04/2020,24,420
Sefton,E08000014,Upper tier local authority,05/04/2020,27,319
Sheffield,E08000019,Upper tier local authority,05/04/2020,66,1032
Shropshire,E06000051,Upper tier local authority,05/04/2020,7,179
Slough,E06000039,Upper tier local authority,05/04/2020,5,172
Solihull,E08000029,Upper tier local authority,05/04/2020,10,261
Somerset,E10000027,Upper tier local authority,05/04/2020,9,135
South Gloucestershire,E06000025,Upper tier local authority,05/04/2020,10,146
South Tyneside,E08000023,Upper tier local authority,05/04/2020,15,126
Southampton,E06000045,Upper tier local authority,05/04/2020,12,189
Southend-on-Sea,E06000033,Upper tier local authority,05/04/2020,9,159
Southwark,E09000028,Upper tier local authority,05/04/2020,24,748
St. Helens,E08000013,Upper tier local authority,05/04/2020,19,266
Staffordshire,E10000028,Upper tier local authority,05/04/2020,32,652
Stockport,E08000007,Upper tier local authority,05/04/2020,26,304
Stockton-on-Tees,E06000004,Upper tier local authority,05/04/2020,12,137
Stoke-on-Trent,E06000021,Upper tier local authority,05/04/2020,7,121
Suffolk,E10000029,Upper tier local authority,05/04/2020,31,320
Sunderland,E08000024,Upper tier local authority,05/04/2020,49,387
Surrey,E10000030,Upper tier local authority,05/04/2020,66,1120
Sutton,E09000029,Upper tier local authority,05/04/2020,10,313
Swindon,E06000030,Upper tier local authority,05/04/2020,10,95
Tameside,E08000008,Upper tier local authority,05/04/2020,14,191
Telford and Wrekin,E06000020,Upper tier local authority,05/04/2020,9,102
Thurrock,E06000034,Upper tier local authority,05/04/2020,9,142
Torbay,E06000027,Upper tier local authority,05/04/2020,3,61
Tower Hamlets,E09000030,Upper tier local authority,05/04/2020,19,384
Trafford,E08000009,Upper tier local authority,05/04/2020,19,262
Wakefield,E08000036,Upper tier local authority,05/04/2020,21,210
Walsall,E08000030,Upper tier local authority,05/04/2020,17,427
Waltham Forest,E09000031,Upper tier local authority,05/04/2020,26,421
Wandsworth,E09000032,Upper tier local authority,05/04/2020,17,601
Warrington,E06000007,Upper tier local authority,05/04/2020,23,183
Warwickshire,E10000031,Upper tier local authority,05/04/2020,24,486
West Berkshire,E06000037,Upper tier local authority,05/04/2020,6,119
West Sussex,E10000032,Upper tier local authority,05/04/2020,27,426
Westminster,E09000033,Upper tier local authority,05/04/2020,17,420
Wigan,E08000010,Upper tier local authority,05/04/2020,15,213
Wiltshire,E06000054,Upper tier local authority,05/04/2020,18,180
Windsor and Maidenhead,E06000040,Upper tier local authority,05/04/2020,4,120
Wirral,E08000015,Upper tier local authority,05/04/2020,43,338
Wokingham,E06000041,Upper tier local authority,05/04/2020,8,127
Wolverhampton,E08000031,Upper tier local authority,05/04/2020,10,337
Worcestershire,E10000034,Upper tier local authority,05/04/2020,24,462
York,E06000014,Upper tier local authority,05/04/2020,4,78
England,E92000001,Country,04/04/2020,3328,48115
East of England,E12000006,Region,04/04/2020,263,3919
London,E12000007,Region,04/04/2020,714,13727
North East,E12000001,Region,04/04/2020,254,2212
West Midlands,E12000005,Region,04/04/2020,333,5410
North West,E12000002,Region,04/04/2020,600,6501
East Midlands,E12000004,Region,04/04/2020,189,2954
South West,E12000009,Region,04/04/2020,174,2110
Yorkshire and The Humber,E12000003,Region,04/04/2020,203,3364
South East,E12000008,Region,04/04/2020,457,6261
Barking and Dagenham,E09000002,Upper tier local authority,04/04/2020,6,228
Barnet,E09000003,Upper tier local authority,04/04/2020,39,727
Barnsley,E08000016,Upper tier local authority,04/04/2020,12,240
Bath and North East Somerset,E06000022,Upper tier local authority,04/04/2020,1,66
Bedford,E06000055,Upper tier local authority,04/04/2020,6,138
Bexley,E09000004,Upper tier local authority,04/04/2020,22,294
Birmingham,E08000025,Upper tier local authority,04/04/2020,82,1435
Blackburn with Darwen,E06000008,Upper tier local authority,04/04/2020,10,85
Blackpool,E06000009,Upper tier local authority,04/04/2020,14,88
Bolton,E08000001,Upper tier local authority,04/04/2020,23,202
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,04/04/2020,8,123
Bracknell Forest,E06000036,Upper tier local authority,04/04/2020,7,76
Bradford,E08000032,Upper tier local authority,04/04/2020,21,235
Brent,E09000005,Upper tier local authority,04/04/2020,49,806
Brighton and Hove,E06000043,Upper tier local authority,04/04/2020,13,149
"Bristol, City of",E06000023,Upper tier local authority,04/04/2020,10,213
Bromley,E09000006,Upper tier local authority,04/04/2020,33,561
Buckinghamshire,E10000002,Upper tier local authority,04/04/2020,21,343
Bury,E08000002,Upper tier local authority,04/04/2020,11,153
Calderdale,E08000033,Upper tier local authority,04/04/2020,8,94
Cambridgeshire,E10000003,Upper tier local authority,04/04/2020,19,272
Camden,E09000007,Upper tier local authority,04/04/2020,22,329
Central Bedfordshire,E06000056,Upper tier local authority,04/04/2020,12,185
Cheshire East,E06000049,Upper tier local authority,04/04/2020,19,220
Cheshire West and Chester,E06000050,Upper tier local authority,04/04/2020,31,250
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,04/04/2020,15,197
County Durham,E06000047,Upper tier local authority,04/04/2020,31,306
Coventry,E08000026,Upper tier local authority,04/04/2020,18,295
Croydon,E09000008,Upper tier local authority,04/04/2020,45,743
Cumbria,E10000006,Upper tier local authority,04/04/2020,52,793
Darlington,E06000005,Upper tier local authority,04/04/2020,10,53
Derby,E06000015,Upper tier local authority,04/04/2020,18,300
Derbyshire,E10000007,Upper tier local authority,04/04/2020,33,562
Devon,E10000008,Upper tier local authority,04/04/2020,33,251
Doncaster,E08000017,Upper tier local authority,04/04/2020,7,178
Dorset,E06000059,Upper tier local authority,04/04/2020,7,129
Dudley,E08000027,Upper tier local authority,04/04/2020,27,329
Ealing,E09000009,Upper tier local authority,04/04/2020,26,546
East Riding of Yorkshire,E06000011,Upper tier local authority,04/04/2020,14,119
East Sussex,E10000011,Upper tier local authority,04/04/2020,21,214
Enfield,E09000010,Upper tier local authority,04/04/2020,19,385
Essex,E10000012,Upper tier local authority,04/04/2020,84,1084
Gateshead,E08000037,Upper tier local authority,04/04/2020,31,209
Gloucestershire,E10000013,Upper tier local authority,04/04/2020,44,379
Greenwich,E09000011,Upper tier local authority,04/04/2020,13,339
Hackney,E09000012,Upper tier local authority,04/04/2020,24,372
Halton,E06000006,Upper tier local authority,04/04/2020,11,107
Hammersmith and Fulham,E09000013,Upper tier local authority,04/04/2020,16,294
Hampshire,E10000014,Upper tier local authority,04/04/2020,73,1098
Haringey,E09000014,Upper tier local authority,04/04/2020,17,329
Harrow,E09000015,Upper tier local authority,04/04/2020,24,495
Hartlepool,E06000001,Upper tier local authority,04/04/2020,6,36
Havering,E09000016,Upper tier local authority,04/04/2020,21,289
"Herefordshire, County of",E06000019,Upper tier local authority,04/04/2020,4,68
Hertfordshire,E10000015,Upper tier local authority,04/04/2020,53,1019
Hillingdon,E09000017,Upper tier local authority,04/04/2020,17,375
Hounslow,E09000018,Upper tier local authority,04/04/2020,16,360
Isle of Wight,E06000046,Upper tier local authority,04/04/2020,3,31
Islington,E09000019,Upper tier local authority,04/04/2020,13,276
Kensington and Chelsea,E09000020,Upper tier local authority,04/04/2020,7,285
Kent,E10000016,Upper tier local authority,04/04/2020,67,988
"Kingston upon Hull, City of",E06000010,Upper tier local authority,04/04/2020,8,52
Kingston upon Thames,E09000021,Upper tier local authority,04/04/2020,11,208
Kirklees,E08000034,Upper tier local authority,04/04/2020,14,208
Knowsley,E08000011,Upper tier local authority,04/04/2020,16,172
Lambeth,E09000022,Upper tier local authority,04/04/2020,31,708
Lancashire,E10000017,Upper tier local authority,04/04/2020,90,955
Leeds,E08000035,Upper tier local authority,04/04/2020,17,352
Leicester,E06000016,Upper tier local authority,04/04/2020,15,232
Leicestershire,E10000018,Upper tier local authority,04/04/2020,20,362
Lewisham,E09000023,Upper tier local authority,04/04/2020,28,520
Lincolnshire,E10000019,Upper tier local authority,04/04/2020,19,302
Liverpool,E08000012,Upper tier local authority,04/04/2020,47,555
Luton,E06000032,Upper tier local authority,04/04/2020,14,223
Manchester,E08000003,Upper tier local authority,04/04/2020,40,359
